2025-03-27 12:02:26; WARNING; WebSocketClientPlugin; 13716; 22452] DoConnectWebSocketServer Connect Fail: 29
2025-03-27 12:02:26; WARNING; Aura Pluing; 13716; 9840] [ROGAuraInterface][GetDevListFromLightingService] from InitializeAURA End
2025-03-27 12:02:27; ERROR; Aura Pluing; 13716; 9840] [AuraDlg][getECmodeFromBios] Start
2025-03-27 12:02:27; INFO; Aura Pluing; 13716; 9840] [AuraDlg][InitializeAURA] InitializeAURA Out 
2025-03-27 12:02:27; WARNING; Aura Pluing; 13716; 9840] [AuraPlugin][Initial] ROG_ModelName = FX506LI, ModelType = 21
2025-03-27 12:02:27; WARNING; Aura Pluing; 13716; 9840] [AuraPlugin][Initial] End
2025-03-27 12:02:27; INFO; User Session Manager; 13716; 9840] (3076)Aura Pluing into AddChildLibrary OK
2025-03-27 12:02:27; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT End
2025-03-27 12:02:27; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 3
2025-03-27 12:02:27; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 3
2025-03-27 12:02:27; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT Start
2025-03-27 12:02:27; INFO; User Session Manager; 13716; 18844] StartRunning, Name: Loopback Stream, RunningThread 0000000000000B04
2025-03-27 12:02:27; INFO; User Session Manager; 13716; 18844] ---Started to run library Loopback Stream OK---
2025-03-27 12:02:27; INFO; User Session Manager; 13716; 14476] Before Library Loopback Stream into AddChildLibrary
2025-03-27 12:02:28; INFO; AEF Core; 13716; 1564] Enter GetPacket loop - Service.
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 14476] (340)Loopback Stream into AddChildLibrary OK
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT End
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 3
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 3
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT Start
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] StartRunning, Name: Free Up Memory Plugin, RunningThread 0000000000000BB0
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] ---Started to run library Free Up Memory Plugin OK---
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 11676] Before Library Free Up Memory Plugin into AddChildLibrary
2025-03-27 12:02:28; INFO; Loopback Stream; 13716; 14560] CallLibrary Start
2025-03-27 12:02:28; INFO; Loopback Stream; 13716; 14560] CallLibrary End
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 11676] ChangeWindowMessageFilter, add message: 49375
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 11676] ChangeWindowMessageFilter, add message: 49375 for id: {3B9D1AB2-1F72-4B7D-BF93-B92627943D2B}
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 11676] (64)Free Up Memory Plugin into AddChildLibrary OK
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT End
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 3
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 3
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT Start
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] StartRunning, Name: SoulKey Plugin, RunningThread 0000000000000D04
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 18844] ---Started to run library SoulKey Plugin OK---
2025-03-27 12:02:28; INFO; User Session Manager; 13716; 20676] Before Library SoulKey Plugin into AddChildLibrary
2025-03-27 12:02:28; INFO; SoulKey Plugin; 13716; 20676] CallLibrary Start
2025-03-27 12:02:28; INFO; SoulKey Plugin; 13716; 20676] CallLibrary End
